Order_id,Counter_party_1,inst_Code,c1_ISIN,c1_Date,c1_Time,Settlement_date,Buy_sell,c1_Price,c1_Volume,c1_Trade amount,Counter_party_2,c2_Code,c2_ISIN,c2_Date,c2_Time,c2_price,c2_Volume,c2_Trade_amount,Settled,Comments
355735,C1198784,ABIRLANUVO,INE069A01017 ,18-12-2014,09:18:00,20/12/2014,B,1637.95,2149,3519954.55,C2288294,ABIRLANUVO,INE069A01017 ,18-12-2014,09:18:00,1637.95,2149,3519954.55,Y,Settled
432645,C1151789,ACC,INE012A01025,18-12-2014,09:18:00,20/12/2014,S,1390.25,1070,1487567.5,C2261064,ACC,INE012A01025,18-12-2014,09:18:00,1390.25,1070,1487567.5,Y,Settled
510651,C1160100,ADANIENT,INE423A01024,18-12-2014,09:18:00,20/12/2014,B,448.8,7243,3250658.4,C2231273,ADANIENT,INE423A01024,18-12-2014,09:18:00,448.8,7243,3250658.4,Y,Settled
6330715,C1120108,CRISIL,INE007A01025,18-12-2014,09:18:00,20/12/2014,B,1848.9,33,61013.7,C2272952,CRISIL,INE007A01025,18-12-2014,09:18:00,1848.9,33,61013.7,Y,Settled
6668233,C1125028,DABUR,INE016A01026,18-12-2014,09:18:00,20/12/2014,B,225.75,13003,2935427.25,C2253948,DABUR,INE016A01026,18-12-2014,09:18:00,225.75,13003,2935427.25,Y,Settled
16706,C1182242,3IINFOTECH,INE748C01020,18-12-2014,09:19:00,20/12/2014,B,7.45,17175,127953.75,C2287396,3IINFOTECH,INE748C01020,18-12-2014,09:19:00,7.45,5000,37250,N,volume mismatch between Buyer and seller
114486,C1128601,8KMILES,INE650K01021,18-12-2014,09:19:00,20/12/2014,B,568,117,66456,C2289834,8KMILES,INE650K01021,18-12-2014,09:19:00,563,117,65871,N,Price mismatch between Buyer and Seller
179882,C1159162,ABAN,INE421A01028,18-12-2014,09:19:00,20/12/2014,B,438.3,16809,7367384.7,C2297156,ABAN,INE421A01028,18-12-2014,09:19:00,438.3,16809,7367384.7,Y,Settled
253277,C1155023,ABB,INE117A01022,18-12-2014,09:19:00,20/12/2014,B,1181,411,485391,C2276237,ABB,INE117A01022,18-12-2014,09:19:00,1181,411,485391,Y,Settled
355736,C1114361,ABIRLANUVO,INE069A01017 ,18-12-2014,09:19:00,20/12/2014,B,1637.95,1914,3135036.3,C2211904,ABIRLANUVO,INE069A01017 ,18-12-2014,09:19:00,1637.95,1914,3135036.3,Y,Settled
432646,C1115911,ACC,INE012A01025,18-12-2014,09:19:00,20/12/2014,B,1389.05,565,784813.25,C2263628,ACC,INE415A01038,18-12-2014,09:19:00,1389.05,565,784813.25,N,ISIN mismatch
510652,C1148591,ADANIENT,INE423A01024,18-12-2014,09:19:00,20/12/2014,B,447.45,3116,1394254.2,C2266157,ADANIENT,INE423A01024,18-12-2014,09:19:00,447.45,3116,1394254.2,Y,Settled
6330716,C1118783,CRISIL,INE007A01025,18-12-2014,09:19:00,20/12/2014,B,1839.95,12,22079.4,C2231873,CRISIL,INE007A01025,18-12-2014,09:19:00,1839.95,12,22079.4,Y,Settled
6668234,C1115549,DABUR,INE016A01026,18-12-2014,09:19:00,20/12/2014,B,225.4,13559,3056198.6,C2212944,DABUR,INE016A01026,18-12-2014,09:19:00,225.4,13559,3056198.6,Y,Settled
16707,C1181505,3IINFOTECH,INE748C01020,18-12-2014,09:20:00,20/12/2014,B,7.45,2000,14900,C2208107,3IINFOTECH,INE748C01020,18-12-2014,09:20:00,7.55,2000,15100,N,Price mismatch between Buyer and Seller
114487,C1190897,8KMILES,INE650K01021,18-12-2014,09:20:00,20/12/2014,B,565,673,380245,C2207464,8KMILES,INE650K01021,18-12-2014,09:20:00,565,673,380245,Y,Settled
179883,C1124236,ABAN,INE421A01028,18-12-2014,09:20:00,20/12/2014,B,437,14424,6303288,C2289042,ABAN,INE421A01028,18-12-2014,09:20:00,437,14424,6303288,Y,Settled
253278,C1132404,ABB,INE117A01022,18-12-2014,09:20:00,20/12/2014,B,1185.2,622,737194.4,C2222939,ABB,INE117A01022,18-12-2014,09:20:00,1185.2,622,737194.4,Y,Settled
355737,C1113541,ABIRLANUVO,INE069A01017 ,18-12-2014,09:20:00,20/12/2014,B,1634.45,320,523024,C2244417,ABIRLANUVO,INE069A01017 ,18-12-2014,09:20:00,1634.45,320,523024,Y,Settled
432647,C1183006,ACC,INE012A01025,18-12-2014,09:20:00,20/12/2014,S,1388,653,906364,C2218457,ACC,INE012A01025,18-12-2014,09:20:00,1388,653,906364,Y,Settled
6330717,C1162309,CRISIL,INE03M001014,18-12-2014,09:20:00,20/12/2014,S,1839.9,5,9199.5,C2233512,CRISIL,INE007A01025,18-12-2014,09:20:00,1839.9,5,9199.5,N,ISIN mismatch
6668235,C1117748,DABUR,INE016A01026,18-12-2014,09:20:00,20/12/2014,B,225.45,6019,1356983.55,C2278484,DABUR,INE016A01026,18-12-2014,09:20:00,225.45,6019,1356983.55,Y,Settled
16708,C1186763,3IINFOTECH,INE748C01020,18-12-2014,09:21:00,20/12/2014,B,7.45,14512,108114.4,C2266560,3IINFOTECH,INE748C01020,18-12-2014,09:21:00,7.45,14512,108114.4,Y,Settled
114488,C1146186,8KMILES,INE650K01021,18-12-2014,09:21:00,20/12/2014,B,562,113,63506,C2298116,8KMILES,INE650K01021,18-12-2014,09:21:00,562,113,63506,Y,Settled
179884,C1189697,ABAN,INE421A01028,18-12-2014,09:21:00,20/12/2014,B,438.15,7762,3400920.3,C2249826,ABAN,INE421A01028,18-12-2014,09:21:00,438.15,7762,3400920.3,Y,Settled
253279,C1146058,ABB,INE036A01016,18-12-2014,09:21:00,20/12/2014,S,1180.85,789,931690.65,C2207733,ABB,INE117A01022,18-12-2014,09:21:00,1180.85,789,931690.65,N,ISIN mismatch
305651,C1164576,ABBOTINDIA,INE358A01014,18-12-2014,09:21:00,20/12/2014,B,3399.9,17,57798.3,C2209858,ABBOTINDIA,INE358A01014,18-12-2014,09:21:00,3399.9,17,57798.3,Y,Settled
355738,C1161449,ABIRLANUVO,INE069A01017 ,18-12-2014,09:21:00,20/12/2014,B,1633.95,836,1365982.2,C2226352,ABIRLANUVO,INE069A01017 ,18-12-2014,09:21:00,1633.95,836,1365982.2,Y,Settled
432648,C1125898,ACC,INE012A01025,18-12-2014,09:21:00,20/12/2014,B,1391.75,960,1336080,C2217915,ACC,INE415A01038,18-12-2014,09:21:00,1391.75,960,1336080,N,ISIN mismatch
510654,C1159549,ADANIENT,INE423A01024,18-12-2014,09:21:00,20/12/2014,B,447.5,3467,1551482.5,C2256895,ADANIENT,INE872H01027,18-12-2014,09:21:00,447.5,3467,1551482.5,N,ISIN mismatch
6668236,C1130041,DABUR,INE016A01026,18-12-2014,09:21:00,20/12/2014,B,225.35,2050,461967.5,C2244922,DABUR,INE016A01026,18-12-2014,09:21:00,225.35,2050,461967.5,Y,Settled
16709,C1195559,3IINFOTECH,INE748C01020,18-12-2014,09:22:00,20/12/2014,B,7.3,102,744.6,C2215849,3IINFOTECH,INE585B01010,18-12-2014,09:22:00,7.3,102,744.6,N,ISIN mismatch
114489,C1114509,8KMILES,INE650K01021,18-12-2014,09:22:00,20/12/2014,S,562,30,16860,C2278186,8KMILES,INE650K01021,18-12-2014,09:22:00,561.85,30,16855.5,N,Price mismatch between Buyer and Seller
179885,C1127331,ABAN,INE421A01028,18-12-2014,09:22:00,20/12/2014,B,438.45,6548,2870970.6,C2235472,AIL,INE421A01028,18-12-2014,09:22:00,438.45,6548,2870970.6,N,Security code mismatch
253280,C1163944,ABB,INE117A01022,18-12-2014,09:22:00,20/12/2014,S,1179.95,850,1002957.5,C2235416,ABB,INE117A01022,18-12-2014,09:22:00,1179.95,850,1002957.5,Y,Settled
305652,C1124203,ABBOTINDIA,INE358A01014,18-12-2014,09:22:00,20/12/2014,B,3399.9,15,50998.5,C2246134,ABBOTINDIA,INE358A01014,18-12-2014,09:22:00,3399.9,15,50998.5,Y,Settled
355739,C1141684,ABIRLANUVO,INE069A01017 ,18-12-2014,09:22:00,20/12/2014,S,1633.25,900,1469925,C2277349,ABIRLANUVO,INE069A01017 ,18-12-2014,09:22:00,1633.25,900,1469925,Y,Settled
432649,C1104432,ACC,INE012A01025,18-12-2014,09:22:00,20/12/2014,B,1392,704,979968,C2275789,ACC,INE415A01038,18-12-2014,09:22:00,1392,704,979968,N,ISIN mismatch
6668237,C1197322,DABUR,INE016A01026,18-12-2014,09:22:00,20/12/2014,B,225.9,6197,1399902.3,C2202958,DABUR,INE016A01026,18-12-2014,09:22:00,225.9,6197,1399902.3,Y,Settled
16710,C1145075,3IINFOTECH,INE748C01020,18-12-2014,09:23:00,20/12/2014,B,7.4,8400,62160,C2212794,3IINFOTECH,INE748C01020,18-12-2014,09:23:00,7.4,600,4440,N,volume mismatch between Buyer and seller
114490,C1114376,8KMILES,INE650K01021,18-12-2014,09:23:00,20/12/2014,B,562,124,69688,C2220981,RELINFRA,INE650K01021,18-12-2014,09:23:00,562,124,69688,N,Security code mismatch
179886,C1122216,ABAN,INE421A01028,18-12-2014,09:23:00,20/12/2014,B,438.3,7827,3430574.1,C2282606,ABAN,INE421A01028,18-12-2014,09:23:00,438.3,7827,3430574.1,Y,Settled
253281,C1158626,ABB,INE117A01022,18-12-2014,09:23:00,20/12/2014,B,1179.5,606,714777,C2245952,ABB,INE117A01022,18-12-2014,09:23:00,1179.5,606,714777,Y,Settled
305653,C1182949,ABBOTINDIA,INE358A01014,18-12-2014,09:23:00,20/12/2014,S,3399.05,8,27192.4,C2262208,ABBOTINDIA,INE358A01014,18-12-2014,09:23:00,3399.05,8,27192.4,Y,Settled
355740,C1151720,ABIRLANUVO,INE069A01017 ,18-12-2014,09:23:00,20/12/2014,S,1630.9,1154,1882058.6,C2210037,ABIRLANUVO,INE069A01017 ,18-12-2014,09:23:00,1630.9,1154,1882058.6,Y,Settled
432650,C1173185,ACC,INE012A01025,18-12-2014,09:23:00,20/12/2014,S,1394.95,1421,1982223.95,C2215181,ACC,INE012A01025,18-12-2014,09:23:00,1394.95,1421,1982223.95,Y,Settled
510656,C1184560,ADANIENT,INE423A01024,18-12-2014,09:23:00,20/12/2014,B,447.6,1817,813289.2,C2282702,ADANIENT,INE423A01024,18-12-2014,09:23:00,447.6,1817,813289.2,Y,Settled
6668238,C1119827,DABUR,INE016A01026,18-12-2014,09:23:00,20/12/2014,B,226.2,8430,1906866,C2268836,DABUR,INE016A01026,18-12-2014,09:23:00,226.2,8430,1906866,Y,Settled
16711,C1174992,3IINFOTECH,INE748C01020,18-12-2014,09:24:00,20/12/2014,B,7.35,29,213.15,C2277293,3IINFOTECH,INE748C01020,18-12-2014,09:24:00,7.35,29,213.15,Y,Settled
114491,C1182530,8KMILES,INE650K01021,18-12-2014,09:24:00,20/12/2014,B,564.5,65,36692.5,C2240313,8KMILES,INE650K01021,18-12-2014,09:24:00,564.5,65,36687.5,N,Trade mismatch between Buyer and Seller
179887,C1156578,ABAN,INE421A01028,18-12-2014,09:24:00,20/12/2014,B,438.5,9937,4357374.5,C2268569,ABAN,INE421A01028,18-12-2014,09:24:00,438.5,9937,4357374.5,Y,Settled
253282,C1158324,ABB,INE117A01022,18-12-2014,09:24:00,20/12/2014,B,1175,512,601600,C2204036,ABB,INE117A01022,18-12-2014,09:24:00,1175,512,601600,Y,Settled
305654,C1192479,ABBOTINDIA,INE358A01014,18-12-2014,09:24:00,20/12/2014,B,3405,9,30645,C2264759,ABBOTINDIA,INE358A01014,18-12-2014,09:24:00,3405,9,30645,Y,Settled
355741,C1113617,ABIRLANUVO,INE069A01017 ,18-12-2014,09:24:00,20/12/2014,B,1630,1505,2453150,C2291011,ABIRLANUVO,INE158A01026,18-12-2014,09:24:00,1630,1505,2453150,N,ISIN mismatch
432651,C1175743,ACC,INE012A01025,18-12-2014,09:24:00,20/12/2014,B,1395.5,1518,2118369,C2253494,ACC,INE415A01038,18-12-2014,09:24:00,1395.5,1518,2118369,N,ISIN mismatch
510657,C1123365,ADANIENT,INE423A01024,18-12-2014,09:24:00,20/12/2014,B,448.05,2287,1024690.35,C2288217,ADANIENT,INE423A01024,18-12-2014,09:24:00,448.05,2287,1024690.35,Y,Settled
6330718,C1103135,CRISIL,INE007A01025,18-12-2014,09:24:00,20/12/2014,B,1838.95,6,11033.7,C2289375,CRISIL,INE007A01025,18-12-2014,09:24:00,1838.95,6,11033.7,Y,Settled
6668239,C1151107,DABUR,INE016A01026,18-12-2014,09:24:00,20/12/2014,B,226.8,9251,2098126.8,C2201971,DABUR,INE046A01015,18-12-2014,09:24:00,226.8,9251,2098126.8,N,ISIN mismatch
16712,C1149066,3IINFOTECH,INE748C01020,18-12-2014,09:25:00,20/12/2014,B,7.4,1046,7740.4,C2222444,3IINFOTECH,INE748C01020,18-12-2014,09:25:00,7.5,1046,7845,N,Price mismatch between Buyer and Seller
114492,C1122482,8KMILES,INE650K01021,18-12-2014,09:25:00,20/12/2014,B,564,200,112800,C2256046,8KMILES,INE650K01021,18-12-2014,09:25:00,564,200,112800,Y,Settled
179888,C1188311,ABAN,INE421A01028,18-12-2014,09:25:00,20/12/2014,B,440.35,10832,4769871.2,C2287681,ABAN,INE136B01020,18-12-2014,09:25:00,440.35,10832,4769871.2,N,ISIN mismatch
253283,C1185157,ABB,INE117A01022,18-12-2014,09:25:00,20/12/2014,B,1178,200,235600,C2218790,ABB,INE117A01022,18-12-2014,09:25:00,1178,200,235600,Y,Settled
305655,C1186056,ABBOTINDIA,INE358A01014,18-12-2014,09:25:00,20/12/2014,B,3402,2,6804,C2269732,ABBOTINDIA,INE013A01015,18-12-2014,09:25:00,3402,2,6804,N,ISIN mismatch
355742,C1161938,ABIRLANUVO,INE069A01017 ,18-12-2014,09:25:00,20/12/2014,B,1630,1092,1779960,C2284307,ABIRLANUVO,INE069A01017 ,18-12-2014,09:25:00,1630,1092,1779960,Y,Settled
432652,C1117159,ACC,INE012A01025,18-12-2014,09:25:00,20/12/2014,B,1397.1,1094,1528427.4,C2255755,ACC,INE415A01038,18-12-2014,09:25:00,1397.1,1094,1528427.4,N,ISIN mismatch
6668240,C1171796,DABUR,INE016A01026,18-12-2014,09:25:00,20/12/2014,B,226.95,10339,2346436.05,C2241368,DABUR,INE016A01026,18-12-2014,09:25:00,226.95,10339,2346436.05,Y,Settled
16713,C1181922,3IINFOTECH,INE748C01020,18-12-2014,09:26:00,20/12/2014,B,7.4,9575,70855,C2225439,3IINFOTECH,INE748C01020,18-12-2014,09:26:00,7.4,9575,70855,Y,Settled
114493,C1171899,8KMILES,INE650K01021,18-12-2014,09:26:00,20/12/2014,S,563,105,59115,C2253413,8KMILES,INE650K01021,18-12-2014,09:26:00,563,105,59115,Y,Settled
179889,C1177046,ABAN,INE421A01028,18-12-2014,09:26:00,20/12/2014,S,441.2,16656,7348627.2,C2267147,ABAN,INE421A01028,18-12-2014,09:26:00,441.2,16656,7348627.2,Y,Settled
253284,C1143180,ABB,INE117A01022,18-12-2014,09:26:00,20/12/2014,S,1182.9,729,862334.1,C2297532,ABB,INE117A01022,18-12-2014,09:26:00,1182.9,729,862334.1,Y,Settled
305656,C1118419,ABBOTINDIA,INE358A01014,18-12-2014,09:26:00,20/12/2014,S,3402,1,3402,C2289900,ABBOTINDIA,INE358A01014,18-12-2014,09:26:00,3402,1,3402,Y,Settled
355743,C1127526,ABIRLANUVO,INE069A01017 ,18-12-2014,09:26:00,20/12/2014,B,1632.95,1022,1668874.9,C2246442,ABIRLANUVO,INE069A01017 ,18-12-2014,09:26:00,1632.95,1022,1668874.9,Y,Settled
432653,C1166421,ACC,INE012A01025,18-12-2014,09:26:00,20/12/2014,B,1399,1473,2060727,C2299611,ACC,INE415A01038,18-12-2014,09:26:00,1399,1473,2060727,N,ISIN mismatch
510659,C1140110,ADANIENT,INE423A01024,18-12-2014,09:26:00,20/12/2014,B,447.6,7282,3259423.2,C2236381,ADANIENT,INE423A01024,18-12-2014,09:26:00,447.6,7282,3259423.2,Y,Settled
6330719,C1164906,CRISIL,INE007A01025,18-12-2014,09:26:00,20/12/2014,S,1835.7,67,122991.9,C2296655,CRISIL,INE007A01025,18-12-2014,09:26:00,1835.7,67,122991.9,Y,Settled
6668241,C1112139,DABUR,INE016A01026,18-12-2014,09:26:00,20/12/2014,B,227.3,9425,2142302.5,C2274296,DABUR,INE016A01026,18-12-2014,09:26:00,227.3,9425,2142302.5,Y,Settled
114494,C1130983,8KMILES,INE046A01015,18-12-2014,09:27:00,20/12/2014,B,563,93,52359,C2212407,8KMILES,INE650K01021,18-12-2014,09:27:00,563,93,52359,N,ISIN mismatch
179890,C1179504,ABAN,INE421A01028,18-12-2014,09:27:00,20/12/2014,B,443,19775,8760325,C2264881,ABAN,INE421A01028,18-12-2014,09:27:00,443,19775,8760325,Y,Settled
253285,C1150698,ABB,INE117A01022,18-12-2014,09:27:00,20/12/2014,B,1188,713,847044,C2230588,ABB,INE117A01022,18-12-2014,09:27:00,1189,713,847757,N,Price mismatch between Buyer and Seller
355744,C1108100,ABIRLANUVO,INE069A01017 ,18-12-2014,09:27:00,20/12/2014,B,1632.45,310,506059.5,C2233160,ABIRLANUVO,INE069A01017 ,18-12-2014,09:27:00,1632.45,310,506059.5,Y,Settled
432654,C1147910,ACC,INE012A01025,18-12-2014,09:27:00,20/12/2014,B,1399.95,1777,2487711.15,C2254143,ACC,INE415A01038,18-12-2014,09:27:00,1399.95,1777,2487711.15,N,ISIN mismatch
510660,C1164774,ADANIENT,INE423A01024,18-12-2014,09:27:00,20/12/2014,B,447.35,9309,4164381.15,C2225558,ADANIENT,INE423A01024,18-12-2014,09:27:00,447.35,9304,4162144.4,N,volume mismatch between Buyer and seller
6330720,C1179292,CRISIL,INE007A01025,18-12-2014,09:27:00,20/12/2014,B,1835.3,1,1835.3,C2256610,CRISIL,INE007A01025,18-12-2014,09:27:00,1835.3,1,1835.3,Y,Settled
6668242,C1111946,DABUR,INE016A01026,18-12-2014,09:27:00,20/12/2014,B,227.3,5196,1181050.8,C2282165,DABUR,INE016A01026,18-12-2014,09:27:00,227.3,5196,1181050.8,Y,Settled
16714,C1187401,3IINFOTECH,INE748C01020,18-12-2014,09:28:00,20/12/2014,B,7.35,400,2940,C2230689,3IINFOTECH,INE748C01020,18-12-2014,09:28:00,7.35,400,2940,Y,Settled
114495,C1120853,8KMILES,INE650K01021,18-12-2014,09:28:00,20/12/2014,B,563,409,230267,C2206976,8KMILES,INE650K01021,18-12-2014,09:28:00,563,409,230267,Y,Settled
179891,C1130011,ABAN,INE421A01028,18-12-2014,09:28:00,20/12/2014,B,441.3,9202,4060842.6,C2203277,ABAN,INE421A01028,18-12-2014,09:28:00,441.3,9202,4060842.6,Y,Settled
253286,C1170823,ABB,INE117A01022,18-12-2014,09:28:00,20/12/2014,B,1189,1122,1334058,C2224133,ABB,INE117A01022,18-12-2014,09:28:00,1189,1122,1334058,Y,Settled
305658,C1103326,ABBOTINDIA,INE358A01014,18-12-2014,09:28:00,20/12/2014,B,3405,10,34050,C2201562,ABBOTINDIA,INE358A01014,18-12-2014,09:28:00,3405,10,34050,Y,Settled
355745,C1138783,ABIRLANUVO,INE069A01017 ,18-12-2014,09:28:00,20/12/2014,B,1631.9,1465,2390733.5,C2251522,ABIRLANUVO,INE069A01017 ,18-12-2014,09:28:00,1631.9,1465,2390733.5,Y,Settled
432655,C1161320,ACC,INE012A01025,18-12-2014,09:28:00,20/12/2014,B,1401.4,382,535334.8,C2242170,ACC,INE415A01038,18-12-2014,09:28:00,1401.4,382,535334.8,N,ISIN mismatch
510661,C1185193,ADANIENT,INE423A01024,18-12-2014,09:28:00,20/12/2014,B,448.05,5743,2573151.15,C2208225,ADANIENT,INE423A01024,18-12-2014,09:28:00,448.05,5743,2573151.15,Y,Settled
6330721,C1155075,CRISIL,INE007A01025,18-12-2014,09:28:00,20/12/2014,B,1830.25,26,47586.5,C2283060,CRISIL,INE007A01025,18-12-2014,09:28:00,1830.25,26,47586.5,Y,Settled
6668243,C1187300,DABUR,INE016A01026,18-12-2014,09:28:00,20/12/2014,B,227.15,1039,236008.85,C2221546,DABUR,INE016A01026,18-12-2014,09:28:00,227.15,1039,236008.85,Y,Settled
16715,C1152014,3IINFOTECH,INE748C01020,18-12-2014,09:29:00,20/12/2014,B,7.4,3010,22274,C2296709,3IINFOTECH,INE748C01020,18-12-2014,09:29:00,7.4,3010,22274,Y,Settled
114496,C1176290,8KMILES,INE650K01021,18-12-2014,09:29:00,20/12/2014,B,565,329,185885,C2213369,8KMILES,INE650K01021,18-12-2014,09:29:00,565,329,185885,Y,Settled
179892,C1120905,ABAN,INE421A01028,18-12-2014,09:29:00,20/12/2014,B,440.5,6108,2690574,C2216416,ABAN,INE421A01028,18-12-2014,09:29:00,440.5,6108,2690574,Y,Settled
253287,C1191414,ABB,INE117A01022,18-12-2014,09:29:00,20/12/2014,B,1186.25,591,701073.75,C2222581,ABB,INE117A01022,18-12-2014,09:29:00,1186.25,591,701073.75,Y,Settled
355746,C1108539,ABIRLANUVO,INE069A01017 ,18-12-2014,09:29:00,20/12/2014,B,1628.9,734,1195612.6,C2219063,ABIRLANUVO,INE069A01017 ,18-12-2014,09:29:00,1628.9,734,1195612.6,Y,Settled
432656,C1106352,ACC,INE012A01025,18-12-2014,09:29:00,20/12/2014,S,1400.15,458,641268.7,C2259717,ACC,INE012A01025,18-12-2014,09:29:00,1400.15,458,641268.7,Y,Settled
510662,C1171257,ADANIENT,INE423A01024,18-12-2014,09:29:00,20/12/2014,B,448,7425,3326400,C2205777,ADANIENT,INE423A01024,18-12-2014,09:29:00,448,7425,3326400,Y,Settled
6330722,C1168767,CRISIL,INE007A01025,18-12-2014,09:29:00,20/12/2014,S,1829.05,29,53042.45,C2256827,CRISIL,INE007A01025,18-12-2014,09:29:00,1829.05,29,53042.45,Y,Settled
6668244,C1153538,DABUR,INE016A01026,18-12-2014,09:29:00,20/12/2014,B,226.9,3057,693633.3,C2236274,DABUR,INE016A01026,18-12-2014,09:29:00,227.1,3057,694244.7,N,Price mismatch between Buyer and Seller
16716,C1131468,3IINFOTECH,INE748C01020,18-12-2014,09:30:00,20/12/2014,B,7.4,500,3700,C2285859,3IINFOTECH,INE748C01020,18-12-2014,09:30:00,7.4,500,3700,Y,Settled
114497,C1107106,8KMILES,INE650K01021,18-12-2014,09:30:00,20/12/2014,S,564.45,116,65476.2,C2277033,8KMILES,INE650K01021,18-12-2014,09:30:00,564.45,116,65476.2,Y,Settled
